[2024-03-14 03:42:57,366][0][INFO][generic_advisor.py:365] Sample random config. rand_prob=0.100000.
[2024-03-14 04:36:05,315][0][INFO][generic_smbo.py:295] Iter 13, objectives: [0.2537572765718038, 0.213123037384616].
[2024-03-14 05:33:03,361][0][INFO][generic_smbo.py:295] Iter 14, objectives: [0.2537572765718038, 0.24275382982359991].
[2024-03-14 06:34:46,119][0][INFO][generic_smbo.py:295] Iter 15, objectives: [0.2537572765718038, 0.27875844799809985].
[2024-03-14 07:39:50,319][0][INFO][generic_smbo.py:295] Iter 16, objectives: [0.2537572765718038, 0.3041222906443808].
[2024-03-14 08:37:00,633][0][INFO][generic_smbo.py:295] Iter 17, objectives: [0.2537572765718038, 0.24401736481322184].
[2024-03-14 08:37:00,634][0][INFO][generic_advisor.py:365] Sample random config. rand_prob=0.100000.
[2024-03-14 09:40:44,734][0][INFO][generic_smbo.py:295] Iter 18, objectives: [0.2537572765718038, 0.2955427364839448].
[2024-03-14 10:44:22,508][0][INFO][generic_smbo.py:295] Iter 19, objectives: [0.2537572765718038, 0.2941039022803307].
[2024-03-14 11:43:37,945][0][INFO][generic_smbo.py:295] Iter 20, objectives: [0.2537572765718038, 0.26089683602253594].
[2024-03-14 11:43:38,030][0][INFO][history.py:738] Computing all hypervolumes...
